station_code,station_name,mode,annual_traffic,crowd_density_score,infrastructure_score,vulnerability_score,threat_score,threat_level,is_major_hub
KXXu,King's Cross St. Pancras,LU,1583739.08928571,99.76689976689977,30,15.0,100.0,HIGH,1
TCRu,Tottenham Court Road,LU,1274379.83333333,99.3006993006993,30,15.0,99.60334774503194,HIGH,1
SFDu,Stratford,LU,1144201.5813492,98.36829836829837,30,15.0,98.81004323509579,HIGH,1
OXCu,Oxford Circus,LU,1091978.54166666,98.13519813519814,30,15.0,98.61171710761177,HIGH,1
BDSu,Bond Street,LU,844220.664285714,97.66899766899768,30,15.0,98.21506485264369,HIGH,1
BNKu,Bank and Monument,LU,822789.583333333,97.43589743589743,30,15.0,98.01673872515964,HIGH,1
GPKu,Green Park,LU,638608.041666666,96.73659673659674,30,15.0,97.42176034270756,HIGH,1
LSQu,Leicester Square,LU,565880.468939393,96.03729603729604,30,15.0,96.82678196025545,HIGH,1
BSTu,Baker Street,LU,470662.832142857,95.33799533799534,30,15.0,96.23180357780335,HIGH,1
FPKu,Finsbury Park,LU,435796.269841269,94.4055944055944,30,15.0,95.4384990678672,HIGH,1
WMSu,Westminster,LU,402626.249999999,93.93939393939394,30,15.0,95.04184681289914,HIGH,1
CLJr,Clapham Junction,LO,274845.666666666,88.34498834498834,30,25.0,93.68529610090832,HIGH,1
WLOu,Waterloo LU,LU,1589208.20053571,100.0,0,15.0,84.88358256316687,HIGH,0
VICu,Victoria LU,LU,1287229.85833333,99.53379953379954,0,15.0,84.48693030819881,HIGH,0
LSTu,Liverpool Street LU,LU,1256736.65674603,99.06759906759906,0,15.0,84.09027805323073,HIGH,0
LONu,London Bridge LU,LU,1188796.11309523,98.83449883449883,0,15.0,83.89195192574668,HIGH,0
PADu,Paddington TfL,LU,1157602.98255616,98.6013986013986,0,15.0,83.69362579826266,HIGH,0
FARu,Farringdon,LU,847297.917929292,97.9020979020979,0,15.0,83.09864741581056,HIGH,0
EUSu,Euston LU,LU,681612.385714285,97.2027972027972,0,15.0,82.50366903335845,HIGH,0
CWFu,Canary Wharf LU,LU,681399.472835497,96.96969696969697,0,15.0,82.30534290587443,HIGH,0
SKNu,South Kensington,LU,605324.865250631,96.5034965034965,0,15.0,81.90869065090635,HIGH,0
PICu,Piccadilly Circus,LU,584960.309523809,96.27039627039628,0,15.0,81.71036452342231,HIGH,0
LSTr,Liverpool Street NR,LO,340758.181970491,91.84149184149184,0,25.0,81.3454444488517,HIGH,0
